file_Id,PM2.5
20191128072526735.jpg,23.0
20191218125437347.jpg,19.0
20200105142857645.jpg,59.0
20190915101359500.jpg,41.0
20190715182417673.jpg,51.0
20191013132434015.jpg,20.0
20200227104231012.jpg,20.0
20190619134209328.jpg,73.0
20190617173407685.jpg,31.0
20191101082310100.jpg,33.0
20190801135445033.jpg,25.0
20190817065021234.jpg,7.0
20190908064930047.jpg,61.0
20190920085504109.jpg,36.0
20190527172037981.jpg,2.0
20200117080137235.jpg,46.0
20191019163120651.jpg,166.0
20190707102105922.jpg,10.0
20190707142439546.jpg,11.0
20190519123038273.jpg,48.0
20191022140113623.jpg,53.0
20190826102953610.jpg,56.0
20191108122120849.jpg,29.0
20200128074907414.jpg,126.0
20191009092827468.jpg,2.0
20191205102529757.jpg,5.0
20190804180042293.jpg,51.0
20190527051008580.jpg,3.0
20190614055301189.jpg,73.0
20200110124052333.jpg,19.0
20191204070153506.jpg,6.0
20190908165815184.jpg,19.0
20190605051620798.jpg,86.0
20191128105830304.jpg,35.0
20190714075434313.jpg,8.0
20200203092434325.jpg,4.0
20190806154011620.jpg,32.0
20191121094700264.jpg,76.0
20190712071234614.jpg,18.0
20191027073908238.jpg,49.0
20190622043622350.jpg,18.0
20191213104109465.jpg,40.0
20190615121914736.jpg,17.0
20190709064003307.jpg,28.0
20191010064649000.jpg,39.0
20190724072215533.jpg,45.0
20190626143743555.jpg,53.0
20200206105757176.jpg,38.0
20190809103802118.jpg,43.0
20190808121847757.jpg,40.0
20191021123922281.jpg,10.0
20191101135758606.jpg,25.0
20200116104315770.jpg,13.0
20200218073438728.jpg,5.0
20200212160755307.jpg,190.0
20190823082558536.jpg,5.0
20190712104538203.jpg,27.0
20190630150046461.jpg,3.0
20190531050245230.jpg,9.0
20190602165419928.jpg,39.0
20191103093534070.jpg,22.0
20191214113234506.jpg,6.0
20190820075322566.jpg,72.0
20190814145512240.jpg,5.0
20190914142656147.jpg,8.0
20191202145721692.jpg,16.0
20190913093159213.jpg,29.0
20191008161335808.jpg,11.0
20190707152532002.jpg,17.0
20191206124813481.jpg,41.0
20191231104218491.jpg,22.0
20190708175907644.jpg,22.0
20191217123531040.jpg,3.0
20190711105505577.jpg,46.0
20191114112336097.jpg,36.0
20200102112416260.jpg,78.0
20191108132213293.jpg,28.0
20200213082154618.jpg,236.0
20200209123121987.jpg,125.0
20190712074300831.jpg,18.0
20190819153922482.jpg,41.0
20190803100303482.jpg,70.0
20190916133623434.jpg,20.0
20191118111614881.jpg,26.0
20190827054630759.jpg,56.0
20190724085334188.jpg,62.0
20191105121916764.jpg,43.0
20191110095940704.jpg,35.0
20190705060652098.jpg,38.0
20190906104127905.jpg,47.0
20200215130722100.jpg,3.0
