,file_Id,PM2.5
4837,20200127092953467.jpg,123
2928,20200127143415750.jpg,160
3430,20200123073531898.jpg,66
984,20191209111858976.jpg,204
5492,20200203122711693.jpg,8
817,20191120092601414.jpg,47
3985,20190520142304190.jpg,6
3763,20191024134218841.jpg,17
1097,20200211094016033.jpg,225
2108,20190919154012411.jpg,31
1644,20190626103413749.jpg,38
4415,20190710100340531.jpg,35
4270,20191114075032508.jpg,13
2746,20191009062550133.jpg,9
544,20190524104249883.jpg,62
2569,20190707061736103.jpg,6
3074,20191206094536142.jpg,19
3370,20190714160133941.jpg,12
1034,20191129074625601.jpg,32
2451,20190714135949044.jpg,13
2473,20190825100852183.jpg,30
5128,20190707125320873.jpg,13
5006,20191202142655459.jpg,11
5139,20190627145842378.jpg,57
894,20190625161829596.jpg,45
650,20200201084236602.jpg,12
1972,20190916090227395.jpg,14
3255,20200228123448501.jpg,59
451,20191206091509923.jpg,9
1102,20200215080259881.jpg,6
2564,20190605115201749.jpg,23
2077,20200131152744900.jpg,58
4977,20190522130323470.jpg,14
1340,20200111133217578.jpg,10
4441,20190521060637201.jpg,16
5044,20190622151533077.jpg,16
1279,20191116090258443.jpg,35
1460,20200113083926828.jpg,13
1951,20190819100433484.jpg,51
154,20190809083617183.jpg,53
5198,20191008144217135.jpg,16
434,20200225072819130.jpg,48
1088,20191102091435243.jpg,23
4936,20191205072252385.jpg,29
2060,20190920160111258.jpg,36
2781,20190917115537372.jpg,35
3024,20190529135905872.jpg,25
3683,20190929160723535.jpg,43
5527,20191228151410441.jpg,93
22,20191108122120849.jpg,29
1683,20191104072421765.jpg,24
846,20190610153840839.jpg,5
1627,20190614072419900.jpg,86
1525,20191117155938308.jpg,53
1360,20200209092844620.jpg,100
4356,20191213151505464.jpg,7
414,20200223074713922.jpg,33
4981,20190925141301900.jpg,30
1046,20190928060806421.jpg,82
3718,20190714125856580.jpg,5
5499,20200221113912304.jpg,136
2015,20191122134102712.jpg,162
5185,20190917135722236.jpg,46
1567,20190909053929473.jpg,68
927,20190604065706877.jpg,46
3307,20190825154341866.jpg,15
4867,20190703140216853.jpg,11
3958,20191206141932153.jpg,53
278,20190712061142157.jpg,15
5372,20190715142047884.jpg,62
3454,20200220081536132.jpg,116
4155,20190914155814909.jpg,7
1229,20200222112944930.jpg,5
5411,20190810082650412.jpg,21
2061,20200114093051870.jpg,10
3642,20190819171041223.jpg,40
234,20190820163048729.jpg,38
1954,20200222065548877.jpg,4
2182,20191205075318645.jpg,10
223,20191104082514223.jpg,16
5027,20191010132229957.jpg,60
2208,20191031063052591.jpg,43
3759,20190725141855331.jpg,28
1870,20191124084811903.jpg,4
790,20190702073544567.jpg,30
4483,20200302093416383.jpg,14
356,20200222130103576.jpg,2
4995,20200119094427355.jpg,23
4334,20190908105259828.jpg,35
3214,20191107072625979.jpg,3
935,20200106111652930.jpg,56
1444,20190930095241452.jpg,103
2258,20190809120920833.jpg,32
1307,20190621115156896.jpg,75
1022,20190623130420845.jpg,55
4584,20190820132811290.jpg,42
5249,20200124150237895.jpg,42
673,20200222163407165.jpg,7
3086,20191008073609980.jpg,2
1168,20190905125243757.jpg,55
1934,20190916080134944.jpg,16
2192,20191124115049280.jpg,5
1349,20190602081654083.jpg,36
1535,20190818054003453.jpg,10
2186,20190912063848174.jpg,15
3273,20190811122053819.jpg,11
231,20191027144515380.jpg,45
3974,20200102082138884.jpg,51
4627,20190609161834444.jpg,10
4140,20200109081622668.jpg,15
2432,20191123133135325.jpg,136
163,20200126124158249.jpg,164
2106,20190708162748979.jpg,26
1665,20200204152021710.jpg,5
3250,20200214101412148.jpg,38
3404,20190719100954973.jpg,51
1409,20190706113119552.jpg,7
574,20191112104138361.jpg,53
2449,20190622080925943.jpg,17
3046,20190521050544747.jpg,16
554,20190623062839839.jpg,49
1173,20190708101148800.jpg,22
4956,20200213112431968.jpg,262
535,20190705090829047.jpg,40
4182,20190711072202009.jpg,41
4807,20191110140310508.jpg,29
2618,20190907133438359.jpg,33
4040,20200215150907019.jpg,4
1994,20191013152618923.jpg,14
5236,20190927064800031.jpg,78
2452,20190928080951323.jpg,73
2720,20190625134618500.jpg,47
263,20191002083254245.jpg,63
4185,20190807122810913.jpg,17
2486,20191012065820472.jpg,18
1523,20190813062711727.jpg,3
5507,20190526112450609.jpg,34
3522,20190910120639110.jpg,3
2768,20190704132223264.jpg,27
2506,20190826133231057.jpg,103
2341,20191010101952602.jpg,43
